Divisions		Files Generated		Time
5920		2		11.783000
5921		2		12.623000
5922		2		13.369000
5923		2		12.390000
5924		2		12.370000
5925		2		11.948000
5926		2		11.680000
5927		2		12.271000
5928		2		11.802000
5929		2		12.285000
5930		2		12.275000
5931		2		11.792000
5932		2		12.178000
5933		2		11.802000
5934		2		11.845000
5935		2		12.100000
5936		2		11.752000
5937		2		12.273000
5938		2		14.401000
5939		2		12.405000
5940		2		12.300000
5941		2		11.852000
5942		2		12.241000
5943		2		11.841000
5944		2		11.758000
5945		2		12.171000
5946		2		14.250000
5947		2		12.363000
5948		2		12.797000
5949		2		12.598000
5950		2		12.850000
5951		2		11.819000
5952		2		12.832000
5953		2		11.774000
5954		2		12.725000
5955		2		12.725000
5956		2		12.454000
5957		2		12.500000
5958		2		11.928000
5959		2		11.704000
5960		2		12.398000
5961		2		11.777000
5962		2		12.319000
5963		2		12.788000
5964		2		12.444000
5965		2		12.279000
5966		2		11.913000
5967		2		11.807000
5968		2		12.250000
5969		2		11.843000
5970		2		12.396000
5971		2		12.458000
5972		2		11.782000
5973		2		12.150000
5974		2		11.738000
5975		2		11.788000
5976		2		11.850000
5977		2		11.619000
5978		2		12.088000
5979		2		13.209000
5980		2		12.939000
5981		2		12.371000
5982		2		11.862000
5983		2		12.163000
5984		2		11.644000
5985		2		11.520000
5986		2		11.969000
5987		2		12.506000
5988		2		12.734000
5989		2		12.365000
5990		2		11.879000
5991		2		12.224000
5992		2		12.006000
5993		2		11.835000
5994		2		12.146000
5995		2		12.176000
5996		2		12.580000
5997		2		11.872000
5998		2		11.785000
5999		2		12.164000
6000		2		11.900000
6001		2		12.082000
6002		2		11.973000
6003		2		11.738000
6004		2		13.316000
6005		2		12.794000
6006		2		12.179000
6007		2		12.373000
6008		2		11.841000
6009		2		12.546000
6010		2		11.767000
6011		2		11.722000
6012		2		14.441000
6013		2		12.265000
6014		2		12.673000
6015		2		11.932000
6016		2		11.734000
6017		2		12.273000
6018		2		11.789000
6019		2		12.320000
6020		2		12.009000
6021		2		11.896000
6022		2		12.226000
6023		2		11.782000
6024		2		11.830000
6025		2		11.941000
6026		2		11.684000
6027		2		12.143000
6028		2		11.729000
6029		2		13.523000
6030		2		12.323000
6031		2		11.844000
6032		2		12.230000
6033		2		11.796000
6034		2		11.715000
6035		2		12.247000
6036		2		11.800000
6037		2		13.098000
6038		2		12.231000
6039		2		12.423000
6040		2		12.035000
6041		2		11.782000
6042		2		11.684000
6043		2		12.313000
6044		2		11.860000
6045		2		12.934000
6046		2		13.300000
6047		2		12.248000
6048		2		12.252000
6049		2		11.895000
6050		2		12.088000
6051		2		11.857000
6052		2		11.683000
6053		2		12.271000
6054		2		12.446000
6055		2		12.148000
6056		2		12.111000
6057		2		11.678000
6058		2		12.130000
6059		2		11.785000
6060		2		11.720000
6061		2		12.317000
6062		2		13.697000
6063		2		12.267000
6064		2		12.249000
6065		2		11.839000
6066		2		12.186000
6067		2		11.827000
6068		2		11.919000
6069		2		11.972000
6070		2		12.008000
6071		2		13.243000
6072		2		12.343000
6073		2		12.069000
6074		2		12.074000
6075		2		11.742000
6076		2		12.288000
6077		2		11.780000
6078		2		11.712000
6079		2		12.952000
6080		2		12.764000
6081		2		13.149000
6082		2		11.963000
6083		2		11.668000
6084		2		13.009000
6085		2		11.765000
6086		2		12.673000
6087		2		12.206000
6088		2		11.868000
6089		2		12.854000
6090		2		11.738000
6091		2		12.670000
6092		2		11.969000
6093		2		11.675000
6094		2		12.926000
6095		2		12.995000
6096		2		12.629000
6097		2		12.286000
6098		2		12.087000
6099		2		11.954000
6100		2		11.968000
6101		2		11.665000
6102		2		12.265000
6103		2		12.346000
6104		2		13.407000
6105		2		12.346000
6106		2		11.879000
6107		2		12.294000
6108		2		11.764000
6109		2		12.264000
6110		2		11.887000
6111		2		11.732000
6112		2		14.039000
6113		2		11.948000
6114		2		11.925000
6115		2		11.830000
6116		2		11.795000
6117		2		12.168000
6118		2		11.661000
6119		2		11.618000
6120		2		16.648000
6121		2		13.103000
6122		2		12.361000
6123		2		11.720000
6124		2		12.111000
6125		2		11.911000
6126		2		11.733000
6127		2		12.342000
6128		2		15.077000
6129		2		12.747000
6130		2		13.047000
6131		2		11.841000
6132		2		12.188000
6133		2		11.804000
6134		2		11.730000
6135		2		11.911000
6136		2		13.494000
6137		2		14.781000
6138		2		13.335000
6139		2		12.080000
6140		2		11.873000
6141		2		11.623000
6142		2		12.203000
6143		2		11.757000
6144		2		13.552000
6145		2		11.846000
6146		2		11.643000
6147		2		12.187000
6148		2		11.645000
6149		2		11.565000
6150		2		12.020000
6151		2		11.649000
6152		2		12.017000
6153		2		16.531000
6154		2		12.984000
6155		2		12.095000
6156		2		11.713000
6157		2		12.091000
6158		2		11.652000
6159		2		11.688000
6160		2		12.297000
6161		2		15.908000
6162		2		13.049000
6163		2		12.140000
6164		2		11.766000
6165		2		12.149000
6166		2		11.699000
6167		2		12.191000
6168		2		11.778000
6169		2		16.061000
6170		2		12.037000
6171		2		13.137000
6172		2		12.358000
6173		2		11.946000
6174		2		11.806000
6175		2		12.352000
6176		2		11.912000
6177		2		13.922000
6178		2		11.882000
6179		2		11.687000
6180		2		12.436000
6181		2		11.655000
6182		2		11.816000
6183		2		11.886000
6184		2		11.714000
6185		2		13.969000
6186		2		12.403000
6187		2		13.072000
6188		2		11.950000
6189		2		11.675000
6190		2		12.401000
6191		2		11.736000
6192		2		11.712000
6193		2		12.771000
6194		2		17.344000
6195		2		14.324000
6196		2		12.312000
6197		2		12.248000
6198		2		11.761000
6199		2		11.656000
6200		2		12.387000
6201		2		12.004000
6202		2		11.751000
6203		2		12.155000
6204		2		11.776000
6205		2		12.220000
6206		2		11.823000
6207		2		11.635000
6208		2		12.435000
6209		2		12.072000
6210		2		13.003000
6211		2		12.778000
6212		2		11.779000
6213		2		12.742000
6214		2		11.720000
6215		2		11.717000
6216		2		12.765000
6217		2		11.842000
6218		2		13.285000
6219		2		12.004000
6220		2		12.864000
6221		2		12.460000
6222		2		11.874000
6223		2		12.213000
6224		2		11.812000
6225		2		11.679000
6226		2		12.522000
6227		2		11.787000
6228		2		11.881000
6229		2		12.055000
6230		2		11.719000
6231		2		12.254000
6232		2		11.785000
6233		2		11.700000
6234		2		13.195000
6235		2		12.653000
6236		2		13.204000
6237		2		11.948000
6238		2		11.786000
6239		2		12.973000
6240		2		11.963000
6241		2		12.532000
6242		2		12.201000
6243		2		12.460000
6244		2		12.616000
6245		2		11.848000
6246		2		12.190000
6247		2		11.952000
6248		2		11.696000
6249		2		12.355000
6250		2		11.744000
6251		2		13.246000
6252		2		12.441000
6253		2		13.079000
6254		2		12.789000
6255		2		11.749000
6256		2		11.788000
6257		2		12.549000
6258		2		11.589000
6259		2		13.373000
6260		2		11.872000
6261		2		11.836000
6262		2		12.708000
6263		2		11.917000
6264		2		12.743000
6265		2		11.848000
6266		2		11.820000
6267		2		14.073000
6268		2		12.202000
6269		2		13.115000
6270		2		11.955000
6271		2		12.119000
6272		2		12.443000
6273		2		11.840000
6274		2		12.025000
6275		2		12.333000
6276		2		13.102000
6277		2		13.272000
6278		2		11.749000
6279		2		12.040000
6280		2		12.261000
6281		2		11.685000
6282		2		12.347000
6283		2		11.977000
6284		2		11.966000
6285		2		12.223000
6286		2		11.823000
6287		2		12.157000
6288		2		11.939000
6289		2		11.854000
6290		2		12.257000
6291		2		11.969000
6292		2		13.564000
6293		2		12.232000
6294		2		12.467000
6295		2		12.249000
6296		2		11.800000
6297		2		11.835000
6298		2		12.293000
6299		2		11.648000
6300		2		12.376000
6301		2		13.265000
6302		2		12.572000
6303		2		12.317000
6304		2		11.762000
6305		2		12.473000
6306		2		11.819000
6307		2		11.830000
6308		2		12.972000
6309		2		11.929000
6310		2		12.298000
6311		2		11.861000
6312		2		11.760000
6313		2		12.461000
6314		2		11.766000
6315		2		11.796000
6316		2		12.399000
6317		2		14.069000
6318		2		12.565000
6319		2		11.967000
6320		2		12.104000
6321		2		12.246000
6322		2		11.764000
6323		2		12.092000
6324		2		11.988000
6325		2		13.453000
6326		2		12.348000
6327		2		12.430000
6328		2		12.456000
6329		2		11.860000
6330		2		11.722000
6331		2		12.295000
6332		2		11.808000
6333		2		12.292000
6334		2		13.438000
6335		2		12.329000
6336		2		12.581000
6337		2		11.845000
6338		2		12.180000
6339		2		12.218000
6340		2		11.933000
6341		2		13.251000
6342		2		12.125000
6343		2		12.189000
6344		2		12.257000
6345		2		11.720000
6346		2		12.439000
6347		2		11.895000
6348		2		13.455000
6349		2		13.121000
6350		2		12.115000
6351		2		12.321000
6352		2		12.029000
6353		2		11.733000
6354		2		12.195000
6355		2		11.753000
6356		2		11.956000
6357		2		11.906000
6358		2		12.683000
6359		2		13.225000
6360		2		12.491000
6361		2		12.078000
6362		2		11.936000
6363		2		12.008000
6364		2		12.309000
6365		2		11.683000
6366		2		12.314000
6367		2		14.073000
6368		2		12.362000
6369		2		12.379000
6370		2		11.864000
6371		2		11.719000
6372		2		12.185000
6373		2		11.766000
6374		2		13.050000
6375		2		11.980000
6376		2		11.731000
6377		2		12.905000
6378		2		11.900000
6379		2		12.662000
6380		2		11.870000
6381		2		11.756000
6382		2		12.831000
6383		2		14.442000
6384		2		12.291000
6385		2		12.115000
6386		2		11.801000
6387		2		12.369000
6388		2		11.647000
6389		2		11.727000
6390		2		12.274000
6391		2		14.367000
6392		2		12.339000
6393		2		12.012000
6394		2		11.793000
6395		2		12.246000
6396		2		11.638000
